,text,label
0,Next.,0
1,My window is open.,0
2,"Yes, Jones.",2
3,"No, I need your ID to give you a second ID.",0
4,It's really simple if you have a problem with it... Maybe you should--,0
5,"No, I don't have a passport.",2
6,What do you expect me to do?,0
7,Probably.,0
8,Did you even look at the form? I filled it out all these questions--,0
9,Don't raise your voice with me.,0
10,Don't talk to me like I'm a child.,0
11,Do you know how long I've been working here? How long have you lived in California?,0
12,"Maybe you never been to the D.M.V. before, maybe you should get back in line. You know what? sit in line again and if you get my number ask for different one.",0
13,I am not...I'm not getting to back that line.,0
14,Uh huh. I didn't come here get in yelling match either.,2
15,They don't pay me enough to deal people like you.,2
16,Why?,0
17,"Why, because I'm sick of talking to you.",0
18,"'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.",0
19,"Hey, Joy come in here.",2
20,What's happening?,2
21,I have to go back.,3
22,I just got a letter I have to go back.,3
23,First thing tomorrow morning.,3
24,"The National Guard is I guess really spread thin and then everyone has to go. We all have to go back, my whole companies going back.",3
25,"So yeah, we leave tomorrow...",3
26,...we're all shipping out.,3
27,I just got I feel like I'm in shock actually.,3
28,I don't even know what to tell you.,3
29,I don't know.,3
30,What about the birthday party?,3
31,I guess you're just going to have to have it without me.,3
32,"Hey listen, it's going to be okay though, all right?",3
33,You're going to be fine.,3
34,"I'm going to be fine too, okay?",3
35,I know I have a good... I have a really good group of guys with me.,3
36,We're going to be okay.,3
37,You're going with the same ones?,3
38,Do promise me you're going to take a lot of pictures.,3
39,I know.,3
40,It's not the same though.,3
41,I just wish there was something I could do.,3
42,Run away?,3
43,Mm hmm. We'll build a bunker and never come out.,3
44,"I really don't want to go, I don't want to go...",3
45,Don't say that.,3
46,I love you.,3
47,The craziest thing just happened to me.,1
48,This girl; she just offered me fifty thousand dollars to marry her.,1
49,Why?,1
50,"Well, she's not a citizen so she wants to get a visa.",2
51,Is she on the run?,1
52,"No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years.",1
53,"Oh, she just needs to marry you.",1
54,That's incredible. That's awesome. Where's she from? Maybe you can get a dual citizenship.,1
55,That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome?,1
56,"She's actually from England, I think. Well she- she spoke English but she had an accent. I didn't even ask.",2
57,That's so cool. Uh huh.,1
58,[LAUGHTER] Why did she pick you? Where were you?,1
59,"Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like...",1
60,You were at a party? And she's like hey. You seem unattached she's like.,1
61,"Yeah. Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but...",1
62,That's unbelievable... Yeah.,1
63,Well I've known people who have done this before. Yeah. You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like...,1
64,It's like I'm really going to get married. We'll have like the whole thing.,1
65,"Oh, good. [LAUGHTER]",1
66,"Yeah. Yeah. And then yeah, and then you know like you could like you could do like like sock her for a lot of money",1
67,I know. What do you think I should-,1
68,"Like make her rent the apartment that you two have to live together in, you know. And you won't pay any rent or you pay like, a hundred bucks a month or something.",1
69,Oh good idea.,1
70,Yeah. Make her like open the bank account and stuff too.,2
71,Yeah.,1
72,It's a good idea.,1
73,"Dude, you lucked out.",1
74,I know. Also I get to like plan the wedding now too. That will be fun.,1
75,"Yeah. My colors are blush and beige what is it, do you know?",1
76,"Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?",1
77,Oh I don't know. [LAUGHTER],1
78,I don't know get it in cash.,2
79,Just cash hardcore.,2
80,Yeah.,2
81,What should we do? Where should we get married? We should have party.,1
82,How exciting. You should have a wedding on the beach.,1
83,"Yeah, like a big like- A wedding on the beach, that would be nice.",1
84,"Yeah, at night.",1
85,And then we can honeymoon. I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.,2
86,"Oh yeah, absolutely, absolutely.",2
87,How exciting. You should make her bring all your friends too.,1
88,I'll make her pay for that. I hear she's like totally wealthy. She's like royalty- --or something like and- --whatever like removed or something but yeah.,1
89,[GARBAGE] She's got to be loaded. fifty thousand dollars. That's incredible.,1
90,Incredible.,1
91,I'm going to marry a blue blood. [LAUGHTER],1
92,"you're a lucky, lucky, lucky man.",1
93,Will you help me plan?,1
94,"Oh, totally. Yeah.",1
95,Check this out. You know how I've told you I've been really into like softball recently?,1
96,Yeah.,2
97,"Well, this is totally random, I got this full ride scholarship to go to U.S.C next year to play softball.",1
98,[LAUGHTER]. For softball? That's unbelievable. Is it slow pitch?,1
99,For softball. They're going to pay me to go to school. Isn't that awesome?,1
100,"Yeah. Well, I don't--well yeah I can pitch, I'm not like the pitcher though. I'm like the pinch hitter guy I mostly just hit. But I guess I'm going to have to... Yeah, and then I play shortstop too but... It's so ex- The good news is I get to stay here.",1
101,Pinch hitting softball.,1
102,That is incredible.,1
103,That's amazing. They pay for everything?,1
104,"I know. For softball, yeah.",1
105,"Your housing, books, everything? That is incredible.",1
106,"Yeah, everything. Every like- free ride and I get to, you know, like be on like a Trojans sports team too. And it's like cool. Isn't it awesome?",1
107,That is incredible. Do you get like a per diem?,1
108,"I don't know. I should ask. Yeah, I will.",1
109,You should...You should look into that.,1
110,"That is amazing, congratulations. Good for you.",1
111,Thank you.,1
112,But I don't know I want to live in the housing that they give me though 'cause I think I want to you know like get like a nicer place.,1
113,Oh.,2
114,"Yeah, that you probably. You should see one of these Victorian houses around by.",1
115,Where should I move?,1
116,"That's a really good idea. Or I could go to like Santa Monica. Go beach. Venice beach, yeah a little dirty though. I don't want to go to Venice beach. But - Malibu. All right.",1
117,Oh. Venice beach.,2
118,"Oh, you don't like that. You're west-sider?",1
119,"Okay. That would be way too much of a commute you can't do that. Especially- I know especially from--I don't know, what I was going to say, I don't know.",1
120,Professional softball player Malibu. [LAUGHTER],1
121,I don't know. Commuting from what Malibu that would be ridiculous.,1
122,"Oh yeah, that would be. Well, depends on what type of car you had, though too. I guess it would be worth it. helicopter. Yeah, helicopter. There is a helipad there, right? Yeah, exactly.",1
123,Oh yeah. He'd drop you right off at practice?,1
124,They have those neon--softballs. They're like day-glow you can see them anywhere.,1
125,Oh. That is incredible. Is it--,2
126,"do they have a--is it a co-ed softball team? I mean... Really? You know, I didn't even know that they have that.",1
127,They do it's--believe me it's huge.,1
128,Who do you play? Like do--are you like... nationally ranked?,1
129,I just got into it. I just kind of fell into it. Literally I was walking around and...,1
130,That is unbelievable.,1
131,It's pretty wild.,1
132,I would put that right up there with--ping-pong.,1
133,"Yeah, well I doubt [GARBAGE] ping pong [GARBAGE]",2
134,I mean not to denigrate what you are doing. I think that's great.,1
135,"No, no. I love softball. I played softball all the time.",1
136,I am not saying you should be. I'm not no. I think it's great I think you should be incredibly proud yourself especially because you're going to U.S.C for free for doing it. For free.,1
137,For free that's really what it's about. I mean who cares I mean if I have to play softball all the time?,1
138,Yeah we have like away games and stuff.,2
139,But you know I'm like [GARBAGE].,2
140,You're like the rookie? The new kid.,1
141,Just watch in five years you'll be like on the force. You carry around donuts in your back pocket... [LAUGHTER],1
142,I'm going to have a mustache...On the force...,1
143,Pull over..,1
144,You okay?,2
145,"Yeah, I'm just-- yeah",3
146,"Just kind of feel numb, you know.",3
147,What's happened?,2
148,You didn't even hear?,3
149,[BREATHING] Umm.,3
150,God I've told this story so many times. Umm.,3
151,You don't have to if you don't want to.,2
152,I just...I just basically lost someone that was really close to me.,3
153,"And I've kind of been dealing with all of the...the stuff, you know the hospital and people work because...",3
154,I'm sorry to hear that.,3
155,"He kind of didn't have anyone to take care of that for him, so--",3
156,You've been taking care of it all?,3
157,Oh Jesus.,3
158,It's just really...really messed up.,3
159,He sick for awhile?,3
160,No.,3
161,Just like it.,3
162,Was it an accident?,2
163,"No, I mean it just came on really quick, you know I mean it was a [GARBAGE] it was a sickness but it just --",3
164,how was sick?,2
165,What?,3
166,"Well, I'm confused. He was sick or it was an accident?",2
167,"He was sick. He got sick. He got sick but it happened really, really fast, you know.",3
168,Oh. Really fast? Oh.,2
169,It was kind of like boom... done,3
170,Yeah.,2
171,It's just really weird because he was really young you know and it kind of like...,3
172,Yeah.,2
173,--it just kind of freaks you out.,3
174,"Totally, yeah.",2
175,So weird you know that like one days it's like you know sounds so stupid but like one day someone's here. And like next day you know they're not here and it just kind of makes you like think about like life and mortality and like that kind of stuff. You just like used to take for granted--you know.,3
176,Mmhmm.,2
177,Lock,2
178,Mmhmm.,2
179,The plans you make [GARBAGE].,2
180,"Exactly, you know, and like he had so many plans and he was going to do...",3
181,It leaves a hole for you too.,2
182,"so many things, you know?",3
183,"It leaves a hole for you too, in your plans together.",2
184,What?,3
185,Yeah.,3
186,It gets better.,2
187,"He was a really, really good guy.",3
188,Mmhmm.,2
189,A lot of people loved him.,3
190,MMhmm.,2
191,"You know, it's like affecting a lot of people it's not just me, you know?",3
192,Mmhmm.,2
193,How long did you know each other?,2
194,Umm...,3
195,For like eight years.,3
196,That's a long time.,2
197,Yeah.,3
198,It's good that you were there.,2
199,"Yeah, I'm glad I was there. Glad I- glad I got to be there.",3
200,"So weird,",3
201,Yeah.,2
202,"like I can't...it's like you know it's like ""pinch me"" it's like I can't believe like I'm dealing with this, you know.",3
203,Are there things you wish you'd done differently?,2
204,You seem kind of down.,2
205,What do you mean?,2
206,There's a lot of people looking for jobs.,2
207,"I don't know, I mean, I just don't think...",2
208,Did you ever think it might be your attitude that's...,2
209,"I don't know just sometimes you get kind of... No, I'm not saying that. I just--",2
210,...has anyone ever just said anything like that to you before?,2
211,"Right, sure.",2
212,"But I mean you kind of got to, you got to fake it 'til you feel it, right?",2
213,I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.,2
214,No. I'm just saying though that if I was a person who was hiring somebody I-- --would not hire someone who was angry or upset.,2
215,No.,2
216,What?,0
217,"Well, you know a little. If you were to listen to--",2
218,I just don't want you to fly off the handle.,2
219,You kind of have a short fuse.,2
220,Yeah.,2
221,"Okay. Okay no, no, no, no okay no, I need to hear this more. Come on, bring it.",0
222,"Like this, right now we're trying have a conversation.",2
223,We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.,2
224,I can't finish the sentence with you without you jumping in...,2
225,...and you're always right.,2
226,You have an excuse for everything.,2
227,I'm just saying that maybe you should take in some information before you produce more of your own.,2
228,I'm like a sponge I'm like soaked up with all this information for like three years I'm just dying for a job to like put it in to.,0
229,[BREATHING],2
230,"Well, what kind of field are you looking to go into?",2
231,That's it.,2
232,Can I help you?,2
233,I need a little more information.,2
234,What- What flight did you come in on?,2
235,Georgia?,2
236,"There's no need for you to raise your voice, sir.",2
237,I've been college educated.,2
238,I speak your language.,2
239,Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?,0
240,"Listen, shut your smug mouth, okay? I don't need that.",0
241,I'm just saying you don't need to talk to me like I-,2
242,I've been sitting here for four hours.,0
243,You people have just been tossing me around like a used hanky.,0
244,You work here.,0
245,"Details, Details. Well, anyhow can I--",2
246,so you flew in from Atlanta...,2
247,Four...Four hours ago.,2
248,Do you have any i-?,2
249,I wouldn't let you? I was not in Atlanta. I was not in Atlanta.,2
250,I had nothing to do with the boarding attendance. I'm sorry that your seat was wherever it was.,2
251,"I have some unfortunate news, uh, that your bag isn't going to be--",2
252,--arriving any time soon.,2
253,I'm really sorry to tell you this but...,2
254,Okay.,2
255,It's not. I can offer you fifty dollars and a reimbursement gift cards for our airline...,2
256,...and your future...,2
257,No.,2
258,Yes.,2
259,We've actually...,2
260,They do as matter of fact. We don't like to publicize it because,2
261,people wouldn't Fly our airline.,2
262,Probably people that work for your company huh?,0
263,Do you know what was in that little bag that I could have just easily put in overhead compartment but no I had to check?,0
264,What was that?,2
265,My computer which has all of my data which I'm collecting right now.,0
266,That's unfortunate.,2
267,Yeah it's really unfortunate you know why because I'm going to get fired if I don't get that. So I need to have that back.,0
268,That's too bad.,2
269,"Fifty dollars is not going to cover me for my job, okay?",0
270,I wish I could give it to you.,2
271,Well you need to find it. Can I just go back there and look through the bags? Can I just go back there and just go through maybe I'll find it.,0
272,I wish I-,2
273,That's not - no.,2
274,No.,2
275,It'll be a lot more than what you're doing sitting here and just give me lip service. I'd like to go back at least do some aggressive searching for my stuff.,0
276,We have plenty of aggressive searching going on it's not there. Someone's taken it.,2
277,"Sure, yeah right you have plenty of aggressive searching going on, aggressive searching, drinking coffee and smoking cigarettes.",0
278,I know what you guys do when you're not working you're union people; you just sit around on your ass.,0
279,Thank you very much.,0
280,You're the only one who still loves his parents.,2
281,"I know. It kind of went out of style, didn't it?",2
282,It's not so bad; it's a good thing.,2
283,"[BREATHING] You know, it's lovely here. The air is sweet.",2
284,You're not sorry you came.,2
285,"I'm not sorry, no. But I'm...I can't stay.",2
286,"For one thing, your mother much as told me to go.",2
287,Well.,2
288,"And then, you. You've been kind of...",2
289,What?,2
290,Sort of embarrassed ever since I got here.,2
291,Well I was kind of planning of sneaking up on you over the course of a week or so. They just take it for granted that we're all set.,2
292,I knew they would.,2
293,"Well sure, from your mother's point of view. Why else would I come?",2
294,"I, umm. I guess, I guess that's kind of why I came.",2
295,[BREATHING],1
296,"I love you. Annie, I love you.",1
297,[LAUGHTER],1
298,"I don't really have any imagination, that's all I know how to say.",1
299,[LAUGHTER],1
300,"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch. I wanted it to be somewhere new, some place fresh for both of us.",1
301,No. No,1
302,"Chris, I've been ready a long, long, time.",2
303,I almost got married two years ago.,2
304,You started to write me.,2
305,Every day since.,1
306,Why didn't you let me know?,1
307,Give me a...,1
308,Give me a kiss.,1
309,beating around the bush.,1
310,"I will never forgive you. All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",1
311,"Oh Annie, we are going to live now. I am going to make you so happy.",1
312,Not like that you're not.,1
313,I kissed you.,1
314,"Like Larry's brother. Do it like you, Chris.",2
315,"Hey, let's drive some place. Huh? Let's get out of here.",3
316,No it's nothing like that. It's-,3
317,Yeah. I suppose I have been. But it's going from me.,3
318,I don't even know how to start.,3
319,"It's just all mixed up with so many other things, you know? You know overseas I was in command of a company?",3
320,"Yeah, sure.",2
321,Well I lost them.,3
322,How many?,2
323,Pretty much all.,3
324,"Aw, geez.",3
325,You can't just toss off a thing like that because they weren't just men. You know?,3
326,"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks. He just put them in my pocket. That's a little thing, you know, but that's what kind of guys I had.",3
327,"They didn't die, they killed themselves for each other. I mean that, exactly. Just a little more selfish and they would all be here today.",3
328,Mmhmm.,2
329,"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",3
330,"But then I came home and it was incredible, you know? The whole thing was just kind of this random bus accident. You know, I went back to the rat race again, I went to work.",3
331,And I didn't want any of it. I guess that included you.,3
332,I just want you to know Annie.,2
333,What would I do with a fortune?,1
334,I don't care then.,1
335,No. Wrong number. [LAUGHTER],1
336,[LAUGHTER] That sent shivers up my spine.,1
337,What shall we do if they suddenly walk in on us.[LAUGHTER],1
338,We'll behave exquisitely.,1
339,With perfect poise.,1
340,I think I shall do a curtsy.,1
341,"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy. Do they?",1
342,Yes. Meaning just that.,1
343,"Well what does it all mean? That's what I ask myself in my quest for ultimate truth. Dear God, what does it all mean?",1
344,Don't laugh at me. I'm being serious.,1
345,Who's they?,1
346,Who knows?,1
347,Yes. Yes with all of his might.,1
348,"Let's be superficial, and just pity those poor philosophers, huh? Let's blow trumpets and squeakers and enjoy the party for as long as we can, you know, like small, idiotic school children.",1
349,[LAUGHTER],1
350,Oh Come and kiss me darling before your body rots and worms pop out of your eye sockets.,1
351,"Oh Elliott, worms don't pop.",1
352,"Oh See, I don't care what you do, see. You can paint yourself green and run naked through the Place Vendome and run off with all of the men of the world. I shan't say a word, just as long as you love me best.",1
353,"Aw. Thank you, darling. The same applies to you too, except that if you so much as look at another woman I'll kill you.",1
354,"Oh Charles, that was his name. He did wiggle so beautifully.",1
355,"That was a rouser, wasn't it?",1
356,"The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER] How utterly, utterly ridiculous.",1
357,[LAUGHTER] I'll never forget his face. [LAUGHTER],1
358,[LAUGHTER] We were very much younger then.,1
359,[LAUGHTER] And very much sillier.,1
360,Did you get the mail? So you saw my letter?,3
361,Yeah. I know.,3
362,"I don't understand. You've already done so much, I don't know why do you have to go back.",3
363,I don't know. I put in that. request too. They didn't...,3
364,"I guess, you know, everybody has to make sacrifices.",2
365,"There's people that have given more though, you know?",3
366,I know.,3
367,"There's babies over there, though, that need mothers.",2
368,I don't know how you can be okay with this? I don't know why you're not-- you're fine with it.,3
369,"Just, you know, kicking myself.",3
370,things just aren't what they seem.,3
371,I just don't see why it has to be you.,3
372,"If not me then, who?",3
373,What am I going to do? Huh?,3
374,"You'll videotape everything, yeah?",3
375,Yeah.,3
376,"Maybe you can send it to me, like stream it, yeah?",3
377,Don't you guys have access to computers over there.,2
378,Last month-- Yeah.,3
379,I just don't know how I'm going to do it without you.,3
380,I have to find sitters.,2
381,I can't raise a baby by myself. How?,3
382,"We've got friends, that's why we moved here, huh? Because there is a day care down the street.",3
383,I know.,2
384,And your mother is close by.,2
385,I'll send you lots of letters.,3
386,And I want lots and lots and lots of pictures.,3
387,...to this spot for this massive celebration of like sex and death...,1
388,"Look at this, my hairs are standing up my arm. I'm giving myself goose bumps.",1
389,That's the wind.,2
390,"Well, so? What do you think?",1
391,Can I ask you a question? Are you on your period?,2
392,"Why do you ask me that? God damn it, I told you not to ask me that I hate it when you ask me that. It's insulting.",0
393,"I just, we just have different ideas of what this evening is supposed to look like.",0
394,"Because they never do. Do they, have they ever?",0
395,We missed them twice.,2
396,Twice is every year we've tried that's ever.,0
397,No we won't. It's pointless it's like a waiting up to see Santa Claus.,0
398,"I feel like my whole life is going to be spent here on the beach with my eyes wide open and my hands clasped expectantly, waiting for fish to show up and the fish never show.",0
399,"you were fine during the phone call from Marge, dinner was okay, doing the dishes was fine.",2
400,"Let's see, uh, I took a shower and, um, you were watching the news and you said the ""the Grunions are running tonight,"" and I said ""okay great, let's go.""",2
401,So I'm putting the animals out we're getting the car to the garage and--,2
402,Do you remember the first year we came here? It's about four years ago right after we got married.,2
403,"And I remember thinking this is it. finally, finally I'm as happy as I'm supposed to be.",3
404,"Wait a minute, I've got it.",2
405,"It was when we were driving passed that knickerbocker liquor locker and you would said, no you said ""let's get some champagne"" and I said ""no time to wasting"" or something like that. That's what it is, right?",2
406,I'd rather not remember some things. I'd rather not hope for some things.,3
407,"Oh right sure, of course.",2
408,No.,3
409,You want me to go get some champagne?,2
410,No.,3
411,Do you want to take off our shoes?,2
412,What? Huh?,2
413,You want to get married again?,2
414,"A new carpet, a poodle, a suicide pact, ice cream, a back rub, what? What? What the hell do you want?",0
415,I want something to turn out the way that it's supposed to.,0
416,You think nothing turns out how it's supposed to. You think I had some grand idea going that four years down the line. We would come to this beach and argue over fish? No.,0
417,"No, no I'm just like you, I thought it was going to be all rosy cheeks and the bills would pay themselves and fish will always come and--",3
418,No. You know what you get? You know what you get? You get this.,3
419,This what? What is this? This isn't even anything.,0
420,"Yeah, it is.",2
421,"Oh, sure this is standing on the beach, this is waiting, fighting.",0
422,Right.,2
423,This isn't anything like I thought anything would be.,3
424,I know me neither.,3
425,This is just this. I mean it includes a lot and everything but it's--do you understand what I'm saying?,3
426,I'm doing the best I can.,3
427,"I know that Augie, I really do.",3
428,"I just can't help wishing that I was somebody, somewhere else.",3
429,Maybe if you were with somebody else too?,3
430,I didn't say that.,3
431,"No, I know but--I know I don't make you happy.",3
432,Yeah?,3
433,"You are the one who probably wishes he was with somebody else, someone who didn't take everything so seriously, someone who would enjoy yourself.",3
434,Look what we got here.,1
435,It's not champagne.,2
436,I guess we don't need glasses.,1
437,"Are you cold, huh? Do you want to go home?",2
438,I'm beginning to think you might be right. I think this might be the spot after all.,1
439,"Augie, I'm sorry.",3
440,Shh...,1
441,"If we are really quiet, the fish might come.",1
442,Or not.,2
443,Or not.,2
444,So what's up? What's new?,2
445,Well Vegas was awesome.,1
446,Yeah. I heard.,2
447,"And, um, I got married.",1
448,Yeah. In the old town part.,1
449,Who did you marry?,1
450,Um- Yes. It was very romantic.,1
451,It was at the slot machines.,1
452,"Uhuh, uhuh. He won big and he-and he realized that the only thing that would make it better was me as his bride.",1
453,He turned to you and was like...,2
454,[LAUGHTER] That's really romantic.,1
455,"Yeah. Well. You know, because he's leaving the next day.",1
456,Yeah.,2
457,But we're going to have a honeymoon cruise.,1
458,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",2
459,Oh. I hadn't even thought about that.,1
460,Yeah. But he'll have like a long visa. Can you go visit then for a long time?,2
461,Oh. Totally.,1
462,I guess I'll- I guess I'll have an internet husband.[LAUGHTER],1
463,Like you need another one of those.[LAUGHTER],1
464,Is that your phone?,1
465,"Yeah, so [LAUGHTER] He's calling me now",1
466,He loves you.,1
467,"He likes to keep tabs, you know.",1
468,How much did he win at the slot?,2
469,"Uh, I think seven hundred and fifty dollars.",2
470,Penny slots. That's what he plays.,2
471,Yeah.,2
472,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much. I don't know.,2
473,Yeah. We played Wheel of Fortune pennies. It's like a giant thing with like-,1
474,"But the pennies always get you because you end up spending like, you know, fifty bucks.",2
475,Fifty bucks. Mmhmm.,2
476,"like, wait, but it's just pennies. You're like, wait a minute I'm on to you.",2
477,Yeah.,2
478,Well so now we're married. We have cat children.,1
479,Awesome.,1
480,[LAUGHTER] Cat babies.,1
481,"We renamed Brenda, Lumber Janet.",1
482,That's fair enough.,2
483,She needs a new name each state that we go into. [LAUGHTER],1
484,Well maybe...maybe he just wanted to see her.,2
485,He's not going to marry her.,0
486,How do you know he's even thinking about it?,2
487,It's got that about it.,0
488,"What is going on here, Joe?",0
489,She is not his girl. She knows she's not.,0
490,"Then why is she still single? New York is full of men, why is she still single? Probably a hundred people told her she's foolish, but she waited.",0
491,How do you know why she waited?,2
492,"Because she knows what I know, that's why. She's faithful as a rock. In my darkest moments, I think of her waiting and I know that I'm right.",0
493,"Nobody in this house dares take away her faith, Joe. You know strangers might, but not his father, not his brother.",0
494,"I want you to-- I want you to act like he is coming back, both of you. Don't think I haven't noticed you since Chris invited her here.",0
495,I won't stand for any nonsense.,0
496,"Because if he's not coming back, I'll kill myself. Oh laugh, laugh all you like but why does this happen the very night he comes back. She goes to sleep in his room and his memorial breaks in pieces. Look at it, Joe, look.",0
497,"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry. Believe with me. You, above all, have got to believe. Just believe.",0
498,"What have I got to hide? What the hell is the matter with you, Kate?",0
499,And very much sillier.,1
500,However I believe the real cause of that row was Peter Burden.,2
501,Oh. You knew there was nothing in that.,1
502,I knew nothing of the sort. You took presents from him.,2
503,"Presents? It was only a trivial, little brooch.",1
504,You went out of your way to torture me over Peter Burden.,2
505,I did not. You worked that whole thing up in your jealous imagination.,2
506,"Well, what of it?",2
507,What about me?,0
508,"I'll have a little, I think.",2
509,"No particular reason. Anyhow, they are very small ones.",2
510,Don't be stupid.,0
511,"Really, Amanda.",0
512,What?,0
513,"you going out somewhere, dear?",2
514,No. I am just making myself fascinating for you.,0
515,Oh. It's a woman's duty to allure the man.,0
516,"Well as a matter of fact, yes, that's perfectly true.",2
517,No it isn't.,0
518,Yes it is.,2
519,You shut up.,0
520,"Oh really. It's a pity you didn't have any brandy, it would have made you a little less disagreeable.",0
521,"Snap, snap, snap. You know you are like a little adder.",0
522,Nonsense. They have a bag of venom behind their fangs and they snap. They snap.,0
523,They sting. I don't care. Do you understand? I don't care if they bark and they roll about like hoops.,0
524,Did you see much of Peter Burden after our divorce?,0
525,"Yes I did, quite a lot.",0
526,"And I suppose you let him kiss you a good deal more than, too. Yes. I suppose you guys had a riotous time, huh? All out, no restraint at all. Well, you never really had much anyhow.",0
527,Mind your own business.,0
528,"You're quite insufferable, I expect it's because you are drunk.",0
529,I think I am not in the least bit drunk.,0
530,You've always had a weak head.,0
531,I think I mentioned once before that I've had three minute liquor glasses the whole evening long. A child of two cannot get drunk on that.,0
532,"On the contrary, a child of two can get violently drunk on only one glass of brandy.",0
533,"That's very interesting Amanda. How about a child of four? Or a child of six? Or a child of nine? We can get a good little conversation going on about this, you know, intemperate tots.",0
534,Oh shut up.,0
535,Shut up.,0
536,"Not very funny, darling. Why don't you have some more brandy.",0
537,"Look, you better turn that off. I don't want to wake up the people upstairs.",0
538,Why?,2
539,There are no people upstairs; it's a photographer's studio.,2
540,Well then you'll wake up the people downstairs.,0
541,They are away in Tunis.,2
542,This is no time of year for Tunis.,2
543,I will do no such thing.,0
544,Fine if you insist on being boorish and idiotic.,0
545,"Will you turn that off, it's driving me mad.",0
546,"You are far too temperamental, try to control yourself.",0
547,Turn it off.,0
548,"I won't. Let go, let go of me. Listen, listen? I'm sick and tired of listening to you, you sadistic bully.",0
549,"Amanda, listen, listen.",0
550,Oh. That's very amusing indeed.,0
551,"Oh shut up. Let go. I hate you, I hate you. Do you hear? You are a conceited and overbearing and utterly impossible.",0
552,"You are a vile, ill-tempered, loose living, wicked little beast and I never want to see you again as long as I live.",0
553,This is the end. Do you hear me? Finally and forever.,0
554,You're not going like this.,0
555,Oh. Yes I am.,0
556,You're not.,0
557,"Yes I am. Stop it. Stop it. Let go of me. Oh. You're a cruel fiend. I loathe and I hate you. Marry you again? Never, never, never. I hope you die in torment, you brute beast cad.",0
558,"Shut up. Shut up. God, I wouldn't marry you again if you came crawling back to me on a bended knee. You are a vile, ill-tempered, mean little wench and I never want to see you again as long as I live.",0
559,Excuse me.,2
560,Yeah.,2
561,Is there a problem?,2
562,Well what's the problem? Let me change it.,2
563,That's out of control.,0
564,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID.,0
565,"Clearly. You know, do you have like a supervisor or something?",2
566,Yeah. Do you want to see my supervisor? Huh? Yeah. Do you want to see my supervisor? Fine. I'll be right back.,0
567,"What time is it? God, this is great, isn't it? I can't believe it.",1
